song,artist,popularity,release_year,danceability,energy,loudness,tempo,key
"Me, Myself & I",G-Eazy,77,2015,0.756,0.674,-6.518,111.995,0
Wrecking Ball,Miley Cyrus,77,2013,0.53,0.422,-6.262,119.964,5
Drops of Jupiter (Tell Me),Train,77,2001,0.481,0.638,-5.862,79.064,0
Feel This Moment (feat. Christina Aguilera),Pitbull,77,2012,0.673,0.758,-3.632,135.956,7
This Love,Maroon 5,77,2002,0.712,0.862,-4.612,95.051,5
Radioactive,Imagine Dragons,77,2012,0.448,0.784,-3.686,136.245,9
Royals,Lorde,77,2013,0.674,0.428,-9.504,84.878,7
"i hate u, i love u (feat. olivia o'brien)",Garrett Nash,77,2016,0.492,0.275,-13.4,92.6,6
Drive By,Train,77,2012,0.765,0.837,-3.113,122.028,1
Save That Shit,Lil Peep,77,2017,0.534,0.583,-8.672,105.997,2
Good Time,Owl City,77,2012,0.56,0.872,-4.269,126.05,3
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,77,2010,0.722,0.761,-4.459,128.044,11
Oops!...I Did It Again,Britney Spears,77,2000,0.751,0.834,-5.444,95.053,1
Don't Call Me Up,Mabel,77,2019,0.674,0.881,-2.853,98.994,9
boyfriend (with Social House),Ariana Grande,77,2019,0.4,0.795,-3.731,190.097,10
Alors on danse - Radio Edit,Stromae,77,2010,0.791,0.59,-9.206,119.951,1
Nice For What,Drake,77,2018,0.585,0.909,-6.474,93.372,8
MIA (feat. Drake),Bad Bunny,77,2018,0.817,0.539,-6.349,97.062,6
Psycho (feat. Ty Dolla $ign),Post Malone,77,2018,0.75,0.56,-8.094,140.06,8
Just the Way You Are,Bruno Mars,77,2010,0.635,0.841,-5.379,109.021,5
Without Me,Halsey,77,2018,0.752,0.488,-7.05,136.041,6
Poker Face,Lady Gaga,77,2008,0.851,0.806,-4.62,118.999,4
Don't Stop The Music,Rihanna,77,2008,0.835,0.669,-5.582,122.668,6
What I've Done,Linkin Park,77,2007,0.623,0.93,-5.285,120.119,5
ZEZE (feat. Travis Scott & Offset),Kodak Black,77,2018,0.861,0.603,-5.788,98.043,8
Walking On A Dream,Empire of the Sun,77,2008,0.871,0.701,-5.594,126.975,5
